Text,State,City,Year,Type,Source
"I was at a grocery store in Koreatown, and the cashier who appeared to be ethnically Viet was telling the previous customers to watch out for the Koreans. She said they were bringing the virus to the USA.",California,Los Angeles,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"As I walked out of Eagle Rock Plaza, a woman said, ""Oh my God! China brought the virus here!"" When I crossed her path to walk toward my car and to confirm if that comment was meant for me, she jumped back and nearly yelled, ""Oh my God! Please don't give me the virus!",California,Los Angeles,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"Bodega customers rolled their eyes, muttered comments (“unbelievable”) and wouldn't walk into the store until I and my partner (also Asian) left. It didn’t seem to be an issue of capacity as there were more people in the bodega after we left.",California,Los Angeles,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"I am a physician. I was wrapping up the end of the work day; and I was being facetious with the office staff by my remark about how I fantasized myself jumping on a plane to escape the chaos. The nurse overheard my comment and in a serious tone told me I should ""go back to China"" despite the fact that I was born in Los Angeles. My mother was born in Thailand and father was born in Vietnam. I had a somewhat similar incident with the two other physicians in the office.",California,Los Angeles,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"My White female and Latina coworkers sporadically mock ""Asian accents"". This isn't a one time incident. I worked with two White girls and 1 Latina who keep making “Ching Chong"" noises or accents in a mocking tone.",California,Los Angeles,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"The ride-hailing service driver would not let me sit in front when there was space. He stared at me the entire ride in the rear view mirror; then when he picked someone else up, he let that White man sit in front.",California,Los Angeles,,Refusal Of Service,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"I usually take my daughter to ride her scooter or roller skate in the parking lot of a church near our home. The director of an unaffiliated preschool (also shut down temporarily) on site insisted on shooing me and my daughter nearly 70 feet away to the other side of the parking lot and told me to keep my distance even though I was already 25 feet away from her. Today, she came out to the parking lot snapping photos of me and my daughter and threatening to call the police if I didn't leave immediately.",California,Los Angeles,,Refusal Of Service,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"Parked at a grocery store parking lot, I sat in my car for a few minutes before heading inside with lots of foot traffic around me. As I left my car to go inside, an older White male pulled up into the parking spot to the right of me. When I returned to my car, there was spit and phlegm all over the passenger (right) side door",California,Los Angeles,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"I was crossing the street, and an unmasked Brown man was on the other side. I didn't think much of it because I live in a POC-heavy neighborhood and some of them don't wear masks, but they leave me alone. As I passed him, he spat at me from behind (so clearly he was waiting for me to cross so he could do this) and then followed me for about half a block, upon which I turned and ran across the street to hide behind a van and make sure he kept walking without following me home.",California,Los Angeles,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"Instagram post by a White man including the phrase ""Some dude in China eats a raw bat and starts a global pandemic.""",California,Los Angeles,,Online,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"I received an insulting text message from my client with inappropriate gender and racial terms involved, ""......have a nice day bitch ass Asian ho. That’s the f--king way I feel about the Chinese.""",California,Los Angeles,,Online,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"A person followed two university employees and persistently questioned them about their race. He said, ""Are you Chinese or Japanese? If you are Chinese or Japanese, I'm going to kill you."" He then lifted his shirt to reveal a handgun.",Louisiana,New Orleans,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Anti-China-201011.pdf
"I am a physician, and last month I worked 7p-7a in a makeshift COVID unit at my hospital during the surge in the Bronx. I was about to perform the nasopharyngeal swab on a schizophrenic patient to test her for SARS CoV 2. She told me, ""GET YOUR CHINESE ASS AWAY FROM ME!"" She also raised her hand at me.",New York,Bronx,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Anti-China-201011.pdf
"I got on the bus and sat next to a man. He turned to me and told me, ""Cover your f**king mouth, you Chinese b***h. How dare you yawn at me!"" He continued verbal assault until I exited the bus 20 minutes later.",Illinois,Chicago,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Anti-China-201011.pdf
"A man right outside of the main Massachusetts General Hospital entrance yelled at me, “Why are you Chinese people killing everyone? What is wrong with you? Why the f**k are you killing us?” I continued walking and pretended I didn’t hear, but he did follow me for a block before he gave up. I notified security and filed a formal incident report, and they stated that this has been happening with some frequency recently around the hospital premises.",Massachusetts,Boston,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Anti-China-201011.pdf
"I was on a neighborhood walk on a residential street with my 2-year-old Japanese American son. A middle-aged white man in a car pulled next to us, lowered his passenger side window and called out to me. As I approached, he called out, ""Tell your kid when he grows up that China did this all,"" and then drove off.",California,Los Angeles,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Anti-China-201011.pdf
"A passenger on the subway platform was yelling about wanting to ""kill Chinese"" for ""creating coronavirus."" I was with my 10 y/o biracial child, there were 3 or 4 other Asian women on the platform, at least one was wearing a face mask. I caught his eye, and then he said he should push us onto the train tracks.",New York,New York City,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Anti-China-201011.pdf
"Walking to a supermarket when a man yelled, “This pandemic wouldn’t have happened if you stayed in your country where you belong, you chink. You brought the virus on purpose.”",Pennsylvania,Dickston City,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Anti-China-201011.pdf
"I was crossing the street with my sister and a car came speeding down the street toward me. The driver and his friends rolled down the window to scream at me, “Go back to Wuhan, China, you stupid b***h!” and drove away while laughing at us.",New York,Brooklyn,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Anti-China-201011.pdf
"My roommate told me that the Chinese are filthy people who all deserve to die of COVID- 19 and said it is no wonder all plagues spread from China. Said that the Chinese were selfish and horribly overpopulated, and they should have issued a zero-child policy so they could not proliferate.",Texas,Austin,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Anti-China-201011.pdf
"Students from university created a fake restaurant called ""Ching Chong House"" featuring dishes like ""Mouse tail salad"" and ""Crispy Burnt Pug- Delicious Deep fried dog body"" and many more racist and offensive comments.",Colorado,Fort Collins,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Anti-China-201011.pdf
"Provided a check-in to a client of ours, and she ranted, ""Dirty Oriental folks with their dirty habits are coming from China via boat and plane and spreading the disease all over the US and places like Chinatown are filthy and that's why I don't go out.",California,Cupertino,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Anti-China-201011.pdf
"I was walking on the Riverway in Boston when a man on a bicycle sped past me and called me a “p***y.'” I was wearing a face mask. When I asked, ""What did you say?"" he said, ""Chink, go back to your country.",Massachusetts,Boston,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Anti-China-201011.pdf
"As I walked home, a man I passed by and yelled ""Get the f**k out of here, Chink!"" I lived in Harlem for more than three years and had never heard racial slurs until the Coronavirus",New York,New York City,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Anti-China-201011.pdf
A man shouted at me something like- “Ching-Chong Chinkie Chinaman. Take your Coronavirus and go back to China!”,California,Los Angeles,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Anti-China-201011.pdf
"In the beginning stages of COVID in the U.S., my boyfriend (a white male) and his friends were harassing me. After we had not been contacting each other for months, he was sending me snaps (on the app Snapchat) of him and his friends calling me “a chink.” It was clear that he was drunk but they went on about how I had the coronavirus. After that, they blocked me.",California,Daly City,,Online,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Youth-Incidents-200917.pdf
"My school had an online page where you could post anonymously. A post that stuck out was “Our entire year was ruined by the Chinese. Thank you, retards. From the nonChinese.”",New York,New York City,,Online,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Youth-Incidents-200917.pdf
"I was sprayed with a body spray by a white kid who commented “the Coronavirus.” Shortly thereafter, he headbutted me and caused my head to strike a wall.",Virginia,New Kent,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Youth-Incidents-200917.pdf
"I was walking from my mom's car, wearing a mask and trying to keep my distance from others. A middle-aged lady, not wearing a mask, went to the other side of the sidewalk from me and said, ""Get away from me, Asian lady!”",Caifornia,Cerritos,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Youth-Incidents-200917.pdf
"I was in the school bathroom and three white girls entered. They immediately covered their face with their shirts, even though they were with each other before. When I confronted them about it, they said they didn't want to get the coronavirus.",California,Los Altos,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Youth-Incidents-200917.pdf
My niece was at a [grocery store] today and this lady spat on an Asian family after insulting them based on the belief that coronavirus was their fault.,Texas,Irving,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Youth-Incidents-200917.pdf
"Some guys from my high school whom I did not know followed me home in their car. They honked very loudly at me,and pulled up next to me; and when I looked up, they threw things at me from their car, pretended to cough on me, said ""Ching chong! You have Chinese virus!"" Then, they drove away, rolling up their windows.",Texas,Dallas,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Youth-Incidents-200917.pdf
"Adult judge overseeing the middle school debate enters room, walks to the opposite side of the room, away from her assigned seat next to me and my debate partner who is from Macau and states, “Coronavirus, you know?” to those around her. The teens who heard her sit with mouth agape at the comment, in pure shock.",New York,New York City,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Youth-Incidents-200917.pdf
"I was checking out at the counter with my 11-yr old son. While handling my checkout, the store associate was talking on the phone with an earphone from the beginning to the end. She was looking away from me. She sounded angry and anxious. I heard her say ""Those third world country people brought the virus here..."" Meanwhile, she was obsessively spraying disinfectants on her hands multiple times in front of me. It was so obviously inappropriate and unprofessional because when she was with the customer right before me (I was waiting in line), she was smiling and all cheerful.",Texas,Beaumont,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Youth-Incidents-200917.pdf
"My sister was shopping and wearing a mask. When she would look at certain merchandise, an employee would follow her and clean where she had touched. My mom noticed that she did not do this to any of the other customers, all white, only my sister.",Arizona,Phoenix,,Refusal Of Service,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"I called a [rideshare] to go to the doctor (I was undergoing IVF - nothing COVID related). I was wearing a mask. When the driver saw me, he sped away and canceled the ride.",New York,New York City,,Refusal Of Service,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"It was the last day I went to school before the stay at home order was put in place. I went to the bathroom during class and two girls followed me. One of them had orange juice so when I walked into a stall, I got juice thrown into my stall and it got all over me. When they threw it, they yelled, “Coronavirus.”",California,Union City,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"My friend was at school when her teacher was talking about coronavirus precautions. A few kids in the class made fun of her for having come back from Taiwan a few months prior and everyone moved away from her, making jokes that she was infected. Meanwhile, the teacher did absolutely nothing to intervene.",Washington,Seattle,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"My son (9-year old) was on a summer camp field trip to. [a pizza restaurant]. While there, a girl from his camp group told him that all Chinese people have the Coronavirus. She said that Asians brought the virus. Then, she proceeded to get the other kids to play a game called ""corona touch"" and said that he had the ""corona touch."" The constant insults ended up making him cry. The camp counselors stepped in at that point to stop her",Texas,Austin,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
I’m a healthcare worker. I saw a mask-less man sit across from me on the subway. I moved to the other side of the train car and he followed. He spat and coughed on the subway while yelling racial slurs. No one stood up for me.,New York,New York City,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
A white man got in my face and coughed on me twice and told me to go back to my country,Oregon,Portland,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
’m reporting this on behalf of my brother who got spat on and got told to go back to where he came from because he looked Chinese to the racist attacker.,Illinois,Chicago,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"Elderly grandparents (Korean) were taking our 1-year old daughter for a walk in her stroller. A group of young men followed them, yelling that they had Coronavirus. They were scared to engage (especially since they had a baby with them) and just kept walking until eventually the men lost interest and went away.",New Jersey,Cliffside,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"We were walking down the street, and a man was shouting at an elderly Asian couple in front of us, calling them derogatory terms and threw his cigarette at them.",California,Palo Alto,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"Reporting for my 70-year-old mother, who lives at this address. The man from a nearby apartment angrily shouted at her for several minutes in a public area of the building. He mentioned the Chinese, people dying because of them, and ""the virus,"" presumably COVID-19.",California,Oakland,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"Owner, broker and real estate agent posted on Facebook a commentary associating coronavirus with Chinese. She included a photo showing dog meat in China and stated she was disgusted.",Iowa,Des Moines,,Online,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
Students from Colorado State University created a fake restaurant called “Ching Chong House” featuring dishes like “Mouse tail salad” and “Crispy Burnt Pug- Delicious Deep-fried dog body” and many more racist and offensive comments. https://www.instagram.com/chingchonghouse/?igshid=1rq4pa nrv058m,Colorado,Fort Collins,,Online,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
My friends and I were livestreaming on an app called Yubo. People joined and asked us if we ate bat soup. They also added bat and soup emojis,California,Union City,,Online,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"A woman targeted me out of a group of people and shoulder pushed me extremely hard where my phone nearly fell out of my hands. She then said to me, “F**k you, ch**k.” Afterwards, she spat on a man who defended me and tried to spit on me as well.",New York,Manhattan,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"A white woman in an SUV mounted the curb to try and run over one of my family members, who was just out taking a walk for exercise. This woman saw that they were Asian, pulled over, started yelling and spitting at us, drove off, then turned around and tried to run them over with her car and even mounted the sidewalk to chase them.",California,Thousand Oaks,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"I was in line at the pharmacy when a woman approached me and sprayed Lysol all over me. She was yelling out, “You’re the infection. Go home. We don’t want you here!” I was in shock and cried as I left the building. No one came to my help.",Georgia,Marietta,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
My friend's Korean American sister went to [retail store]. A lady looked at her and covered her mouth before running away.,Washington,Issaquah,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"When I was at the hardware store with my mom, she started coughing and this lady started to run away and hide behind a flowerpot when my mom started getting closer to her area.",California,Union City,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"When coronavirus first hit Arizona, many white athletes would wear masks in the halls, and before lunch, the science halls are majorly empty. So, as I was walking through them, I was walking past those athletes with masks. Despite an empty hall with just me, they hugged the walls and exaggerated their intent to avoid me.",Arizona,Queen Creek,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"As soon as we walked in, there were stares from the other families. Some of them hugged their children closer to shield them away from us. I walked past a family that called us ""Ling Ling,"" and my brother overheard a woman say, ""Stay away from those Chinese people they have corona.""",New Jersey,Trenton,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"Racist remarks ""this is now the Wuhan lane, and welcome to the Wuhan lane"" was made by an individual over and over again while looking at my family and me. My family and I were the only Chinese on the sidewalk, and it was clearly directed at my family and me.",New York,Queens,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"I got into the elevator (mask on) so I could get my mail from the lobby. The elevator opened on the 4th floor and this unmasked white woman yelled “OH HELL NO” when she saw me. The elevator door opened on the 1st floor and she gets out of the elevator and looks me up and down and goes, ""You f**king Chinese people, you're not going to get away with this, we're going to get you.""",Oregon,Portland,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"My husband was approached by two women and t. one woman got in his face and yelled at him to ""get the f**k out of America.""",Maryland,Timonium,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"I (wearing a mask) was waiting to pick up food from a restaurant and a group of people walked down the street (without masks) started yelling and cursing at me, saying that I'm the one who brought the virus to the U.S.",Pennsylvania,Pittsburg,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"Told to ""Go back to China."" Spoke with the manager and he said, ""I'm not the police, I can't interrogate a customer"" He said ""we defend our associates,"" but obviously not the Asian customers. I have shopped at that [store] for 28 years.",Florida,West Palm,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"My white female and Latina coworkers at [research lab] sporadically mock ""Asian accents"". This isn't a one-time incident. I worked with two white girls and one Latina who keep making “Ching Chong noises"" or accents in a mocking tone.",,,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"I was the only Asian American at a conference with work colleagues and I had an allergy flare up that day. One woman, seeing me sneeze, told me I couldn’t be there, that I needed to leave, and ordered me not to touch any of the coffee and cookies put out by the convention. She singled me out when other people in the conference were sneezing, sniffling and coughing.",California,Monterey,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"My HR manager, on-site nurse, and union leader were generally complaining about having to wear [masks], and ways people were dealing with them. The HR manager offered to give the union leader a mask and he said, ""I don't need one."" The nurse responded with, ""Here, you can have this whole box. They came from China."" to which the union leader replied, ""I don't want 'none' of those. They're probably contaminated. I'm not wearing anything from China!""",Kentucky,Louisville,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-National-200805.pdf
"I choked on some water while waiting in line to vote and I had a lady turn around to tell me to stay home if I was sick. I explained to her that I wasn't sick and that I had choked. She then went on to say, ""Well all you Asians started this corona virus and I don't want to partake in it.""",Texas,Irving Palace,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
"While waiting in line to enter a [a warehouse retail] in Austin, TX, I heard a random person behind me shout at me “Get out of line and go back to your own country! We don’t want your chink germs!” Rather than defend me, others in line either turned away or chuckled.",Texas,Austin,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
"Perpetrator said as I was running on the trail, “This is all your people’s fault, this is all your fault!” He was finger pointing and shaking at me.",Texas,Austin,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
"I am a Korean International student. I saw that four of papers about coronavirus posted on my room door. I thought this is the racial discrimination clearly. Because the paper was posted a month ago, but it suddenly happened that day. Also, my room was only one like that. My roommate said his friend may have done that. I got his name at last, Shane. I knocked his room and he opened the door so we could talk for a while. During the conversation he had the same attitude that he doesn't want to talk about it, but we exchanged some words for a short minute. During the conversation, Shane suddenly punched my face and yelled me to get out.",Texas,San Angelo,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
Next door neighbor yelled “North Korean Coronavirus f**ker!” repeatedly before attempting to run me over with his Jeep. He was arrested for aggravated assault with a deadly weapon. His wife came on to my property after his arrest and threaten me with firearms.,Texas,Fort Worth,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
"I was at a four way stop. As I was accelerating to go, a young Caucasian man quickly rolled down his window and spit directly towards me while glaring at me with hatred in his eyes.",Texas,Sunset Valley,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
My niece was at a grocery store on N. MacArthur today and this lady spat on an Asian family after insulting them because coronavirus was their fault. It’s unbelievable where we are. I hope Kroger is going to make sure charges are brought against this woman. That kind of behavior is completely unacceptable.,Texas,,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
"A young Hispanic couple at the store said, ""she has coronavirus"" and walked away from me.",Texas,Houston,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
Customer walked into my workplace had a conversation about virus. Mention Chinese people from China who bury their pets and takes them out and starts eating them.,Texas,Austin,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
I get jokingly accused of eating bat and get strange looks when sneezing when I've been working here at [corporation] for over 2 years and people have heard my strange repeat sneezing in past. Passive aggressive workplace bullying and lying has significantly increased. I am the strongest supply chain technical analyst at the site yet treated like dirt.,Texas,Fort Worth,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
"In a full dining room (at least 30 people), server handing out samples avoided the three tables where there was at least one Asian diner. Every other table was approached.",Texas,Austin,,Refusal Of Service,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
"The store closes at 8:30 PM CST. The greeter yelled at me in front of customers the store was closed. I came at 8:10 PM CST and only needed one item. The self-check out cash register stands were open and empty. The greeter lied and berated me, “You have to come early in the morning and stand in line! You need a number!” I had to assert myself enough to ask another customer (All were treated with pleasant smiles and a kind tone of voice.) and received confirmation there were indeed paper towels to readily purchase. Greeter lies about store being closed and purchasing paper towels required lining up early in the morning and being called by number.",Texas,Dallas,,Refusal Of Service,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
"I was checking out at the counter with my 11-year-old son. While handling my checkout, the store associate was talking on the phone with an earphone from the beginning to the end. She was looking away from me. She sounded angry and anxious. I heard she was saying ""those 3rd world country people brought the virus here..."" Meanwhile, she was obsessively spraying disinfectants on her hands multiple times in front of me. It was so obviously inappropriate and unprofessional because when she was with the customer right before me (I was waiting in line), she was smiling and all cheerful.",Texas,Beaumont,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
"I walked into a classroom (I am an education assistant professor and was observing one my students, who is a PK-12 teacher), and students started saying, “Coronavirus!” to me",Texas,San Antonio,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
"Student in our medical school class is posting some disturbing memes blaming Chinese people and stereotyping them for COVID. As someone entering the medical field, this is extremely disturbing, and this student should know better. One day he will be in charge of someone’s healthcare plan and life. Imagine if he takes his bigotry one step further while he is treating any minority.",Texas,Lubbock,,Online,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Texas-200723.pdf
"In the elevator of my apartment complex, two individuals, a male and a female without a face covering on them, started to harass us, saying ""This f--king virus came from your mother--king country"" and ""You nasty as roaches"" to me and my minor children, because I was trying to maintain social distance as much as possible from these two individuals.",California,Los Angeles,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-California-200630.pdf
"These two White ladies were moving towards me, but as they passed by me, said, ""Go back to China with your dirty diseases.""",California,Verdugo City,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-California-200630.pdf
"As I was walking on the sidewalk, a car full of Black people yelled ""Go back to China.""",California,Alameda,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-California-200630.pdf
"Some young men came by in a white pickup, slowed down and one of them yelled, ""Hey Ch--k! Take your virus and go back where you came from!”",California,Spreckels,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-California-200630.pdf
I was in line at the pharmacy picking up my son's prescription. An African American man was in front of me. He was buying a container of antibacterial wipes. He took one look at me and proceeded to open the container and started wiping himself down thoroughly with the wipes. He moved away from me and told me we had to stay six feet apart.,California,Alameda,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-California-200630.pdf
"Someone threw a glass bottle at my friend while she was putting her baby in the car and yelled, ""Go home, chink.""",California,San Francisco,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-California-200630.pdf
"I was standing in an aisle at [hardware store] when suddenly I was struck from behind. Video surveillance verified the incident in which a White male using his bent elbow struck my upper back. Subsequent verbal attacks occurred with him saying, ""Shut up, you Monkey! ""F--k you, Chinaman"" ""Go back to China,"" and ""...bringing that Chinese virus over here.""",California,San Francisco,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-California-200630.pdf
"A man kicked my dog and told me to shut my dog up and then spat at me, saying “Take your disease that's ruining our country and go home.”",California,Santa Clara,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-California-200630.pdf
"A neighbor (previously unknown to me) screamed at us to stay out of his neighborhood and called my family and me ""f--king ch—ks."" He came towards my children and a physical altercation ensued.",California,San Jose,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-California-200630.pdf
